iter	RMSE
259	12177.78133
260	12126.28597
261	12090.89991
262	12057.22375
263	12038.57305
264	12007.54395
265	11954.92597
266	11912.26944
267	11876.34286
268	11831.81971
269	11793.56711
270	11753.54466
271	11725.83839
272	11690.24853
273	11642.41246
274	11588.48464
275	11563.40695
276	11539.75705
277	11508.45051
278	11471.98671
279	11420.8758
280	11379.16852
281	11336.88274
282	11291.58264
283	11259.91058
284	11219.82185
285	11204.16366
286	11179.32267
287	11155.08266
288	11116.15635
289	11101.0735
290	11061.73937
291	11016.66021
292	10967.38532
293	10953.41046
294	10923.70595
295	10894.30279
296	10862.94247
297	10812.79031
298	10782.67843
299	10736.47449
300	10702.02162
301	10670.05263
302	10643.71014
303	10597.76506
304	10562.81826
305	10525.9478
306	10485.1133
307	10446.30727
308	10434.18641
309	10401.57586
310	10355.38459
311	10317.65936
312	10291.42228
313	10277.19467
314	10254.95108
315	10232.15839
316	10194.73099
317	10154.28707
318	10114.10692
319	10073.17365
320	10038.74079
321	10005.62525
322	9979.422531
323	9959.09441
324	9925.015437
325	9892.757863
326	9861.581518
327	9825.039254
328	9794.999515
329	9786.651287
330	9762.080202
331	9741.366106
332	9726.922372
333	9711.245082
334	9682.353276
335	9662.159489
336	9633.738027
337	9621.764459
338	9615.14477
339	9586.237056
340	9554.293051
341	9536.1574
342	9508.345699
343	9485.71911
344	9450.953146
345	9414.5475
346	9384.719191
347	9364.354988
348	9327.20985
349	9294.752584
350	9271.585635
351	9241.116664
352	9212.419798
353	9186.915897
354	9166.449254
355	9144.435942
356	9114.259421
357	9095.306126
358	9069.935931
359	9045.488454
360	9018.894139
361	8988.59823
362	8969.902562
363	8943.147246
364	8919.279212
365	8913.704011
366	8886.527997
367	8853.558597
368	8832.518522
369	8820.980086
370	8792.357571
371	8767.78976
372	8747.750696
373	8720.580471
374	8692.298644
375	8665.719636
376	8645.83236
377	8621.262023
378	8599.010019
379	8577.847103
380	8551.689266
381	8518.345441
382	8496.496673
383	8474.009978
384	8451.661534
385	8431.92845
386	8409.691939
387	8391.336934
388	8371.267406
389	8350.649646
390	8327.069239
391	8300.97775
392	8281.186655
393	8254.57601
394	8231.730933
395	8213.698278
396	8188.895098
397	8170.781164
398	8158.811147
399	8135.420702
400	8110.823994
401	8094.836591
402	8078.177273
403	8057.378097
404	8028.387995
405	8005.727697
406	7989.585644
407	7961.631591
408	7945.125093
409	7928.390596
410	7908.659973
411	7890.4531
412	7878.319997
413	7850.52529
414	7829.21068
415	7806.44669
416	7788.145252
417	7769.206322
418	7753.131183
419	7729.780851
420	7704.549785
421	7686.110847
422	7668.700144
423	7652.194806
424	7630.597456
425	7621.56903
426	7599.554544
427	7596.33466
428	7581.237714
429	7561.720849
430	7543.834785
431	7525.177153
432	7504.314919
433	7490.832201
434	7469.015001
435	7452.297718
436	7426.01052
437	7411.811319
438	7391.760778
439	7377.226796
440	7358.504812
441	7339.482554
442	7321.651338
443	7299.690198
444	7290.070396
445	7270.227524
446	7252.480527
447	7235.409187
448	7222.358508
449	7207.777654
450	7192.314346
451	7175.030445
452	7160.451299
453	7147.170645
454	7132.567956
455	7117.303628
456	7102.780802
457	7090.731633
458	7071.306511
459	7056.366605
460	7040.328521
461	7018.847818
462	6998.16551
463	6981.902587
464	6971.664517
465	6956.855647
466	6940.458548
467	6925.454161
468	6908.503186
469	6886.758237
470	6870.842991
471	6855.370464
472	6840.247874
473	6816.060401
474	6803.740451
475	6782.66849
476	6765.134698
477	6753.800002
478	6742.465616
479	6726.020757
480	6716.387904
481	6700.270484
482	6682.41123
483	6666.78275
484	6652.157977
485	6640.887276
486	6629.15628
487	6613.247602
488	6598.691051
489	6578.153267
490	6562.52314
491	6550.518545
492	6536.080023
493	6518.202044
494	6500.235424
495	6491.695728
496	6474.75284
497	6466.886208
498	6456.444554
499	6445.086345
500	6427.844704
501	6414.019217
502	6399.726551
503	6385.140299
504	6374.974332
505	6358.67678
506	6345.440461
507	6326.86577
508	6317.646811
509	6305.075655
510	6283.550612
511	6265.98904
512	6247.153498
513	6233.69551
514	6219.578386
515	6204.21262
516	6191.775135
517	6178.045115
518	6165.524478
519	6147.446567
520	6136.11505
521	6124.821532
522	6110.267741
523	6100.070966
524	6088.56276
525	6074.753087
526	6054.744328
527	6041.421297
528	6029.294516
529	6012.059833
530	5997.164538
531	5979.158467
532	5969.212376
533	5955.69187
534	5939.593368
535	5925.424509
536	5915.629886
537	5901.908329
538	5888.823585
539	5875.428977
540	5863.045634
541	5853.77339
542	5839.916582
543	5827.078576
544	5811.740016
545	5797.981998
546	5786.599572
547	5772.513631
548	5759.541597
549	5750.745302
550	5734.659824
551	5719.943819
552	5711.389616
553	5695.82311
554	5686.177423
555	5676.420213
556	5665.414268
557	5655.644813
558	5646.483101
559	5633.540066
560	5619.390799
561	5606.534211
562	5597.243356
563	5586.783532
564	5574.802186
565	5563.319716
566	5551.021033
567	5541.263221
568	5529.998286
569	5522.958315
570	5514.617285
571	5506.749465
572	5492.001173
573	5479.714541
574	5472.841043
575	5462.504507
576	5452.14904
577	5441.376213
578	5432.059985
579	5424.920557
580	5411.473686
581	5398.63994
582	5390.429212
583	5377.055986
584	5371.190491
585	5360.522338
586	5347.908303
587	5340.537391
588	5326.67739
589	5317.028004
590	5305.737127
591	5290.771866
592	5283.220556
593	5272.769094
594	5262.994144
595	5251.420068
596	5243.790791
597	5232.266809
598	5227.39339
599	5218.507158
600	5209.297026
601	5200.073604
602	5193.807782
603	5181.079862
604	5173.025607
605	5159.864773
606	5148.125255
607	5140.309954
608	5131.300763
609	5116.934842
610	5106.170969
611	5098.057933
612	5092.8624
613	5080.899241
614	5076.201455
615	5065.038954
616	5053.178361
617	5045.506247
618	5036.080696
619	5025.520213
620	5022.211941
621	5015.262883
622	5013.17391
623	5000.623039
624	4990.743307
625	4985.652203
626	4976.212394
627	4962.506699
628	4952.446589
629	4941.619325
630	4929.39352
631	4917.390666
632	4907.933053
633	4897.182381
634	4886.15393
635	4882.327714
636	4880.095631
637	4868.861902
638	4860.686449
639	4851.367436
640	4845.032635
641	4838.74079
642	4825.888365
643	4817.460109
644	4811.081576
645	4800.997138
646	4794.40629
647	4785.624108
648	4772.99726
649	4765.320303
650	4759.336655
651	4749.510296
652	4742.304736
653	4730.816838
654	4720.984727
655	4709.63134
656	4702.151213
657	4690.490875
658	4679.922392
659	4672.024664
660	4661.881135
661	4649.745539
662	4640.201824
663	4627.228568
664	4621.280229
665	4611.880492
666	4603.266203
667	4593.222262
668	4583.102214
669	4574.527086
670	4563.281722
671	4555.678713
672	4547.42696
673	4537.324017
674	4527.406461
675	4519.282993
676	4510.424188
677	4499.705829
678	4489.580546
679	4484.363888
680	4475.616887
681	4467.724553
682	4462.92121
683	4452.971437
684	4440.043114
685	4432.198749
686	4422.309838
687	4416.357561
688	4406.62159
689	4396.664241
690	4391.341297
691	4386.193157
692	4378.465118
693	4371.327883
694	4366.210085
695	4353.718045
696	4340.66208
697	4337.700619
698	4329.839276
699	4326.526652
700	4319.040691
701	4314.047051
702	4301.89629
703	4294.106804
704	4285.793315
705	4277.502773
706	4265.82357
707	4258.14988
708	4248.605082
709	4241.003402
710	4233.043888
711	4224.113512
712	4218.804492
713	4212.655329
714	4205.808297
715	4198.382078
716	4189.401163
717	4184.335054
718	4175.710144
719	4172.311048
720	4161.56916
721	4151.37974
722	4141.862951
723	4132.138378
724	4124.605266
725	4117.232027
726	4112.06351
727	4103.320609
728	4098.469583
729	4091.76206
730	4085.361416
731	4077.898589
732	4074.024253
733	4068.355827
734	4059.873398
735	4055.483219
736	4045.651836
737	4037.793689
738	4030.363258
739	4023.427235
740	4017.249154
741	4009.037416
742	4001.345381
743	3993.631528
744	3988.253243
745	3982.122948
746	3974.402515
747	3970.322476
748	3958.890913
749	3954.743734
750	3948.728755
751	3942.670293
752	3938.152753
753	3928.681672
754	3921.779617
755	3913.636117
756	3902.875981
757	3893.316304
758	3885.828045
759	3879.914767
760	3872.668446
761	3867.097593
762	3858.543165
763	3853.768802
764	3846.784087
765	3839.536975
766	3833.08961
767	3829.704279
768	3822.242327
769	3815.689369
770	3809.707498
771	3801.83108
772	3795.811882
773	3789.696215
774	3780.281402
775	3773.21923
776	3769.833656
777	3764.539287
778	3758.983547
779	3753.820157
780	3746.881307
781	3740.79225
782	3734.618202
783	3731.67738
784	3724.005406
785	3716.862469
786	3708.384242
787	3699.831249
788	3695.621498
789	3691.361499
790	3685.610721
791	3678.179239
792	3669.576021
793	3663.231207
794	3659.95087
795	3650.764925
796	3641.784871
797	3636.36417
798	3632.91829
799	3628.141919
800	3619.389675
801	3609.813808
802	3603.766662
803	3598.444853
804	3591.141562
805	3587.858482
806	3578.881594
807	3574.062215
808	3568.935521
809	3562.421129
810	3555.326084
811	3551.058772
812	3546.890007
813	3539.927695
814	3532.699511
815	3525.033528
816	3522.007427
817	3514.11464
818	3506.156475
819	3500.402742
820	3494.962544
821	3488.839446
822	3482.006025
823	3478.142567
824	3468.713625
825	3464.959908
826	3462.389724
827	3458.101286
828	3452.067389
829	3444.575757
830	3436.611536
831	3432.261776
832	3426.625793
833	3420.314705
834	3417.972097
835	3412.093051
836	3408.201239
837	3405.202444
838	3399.460409
839	3393.488628
840	3387.924784
841	3381.920479
842	3375.063949
843	3371.539371
844	3364.354596
845	3357.531972
846	3351.161421
847	3347.940922
848	3342.975006
849	3338.551128
850	3334.093313
851	3331.327927
852	3327.009422
853	3320.927041
854	3316.674246
855	3310.23073
856	3305.488112
857	3300.222264
858	3294.243768
859	3291.154186
860	3284.527947
861	3281.160884
862	3274.308381
863	3271.192705
864	3263.972978
865	3257.276813
866	3250.227818
867	3244.808944
868	3239.116893
869	3235.226325
870	3226.24148
871	3222.741291
872	3216.405389
873	3211.744997
874	3208.945781
875	3201.07891
876	3195.228296
877	3189.369043
878	3186.238048
879	3182.791359
880	3178.89878
881	3172.621745
882	3168.332124
883	3163.586197
884	3157.514754
885	3152.290716
886	3144.421111
887	3140.492818
888	3139.522721
889	3136.594327
890	3129.223662
891	3126.332223
892	3123.03692
893	3117.138878
894	3109.398748
895	3103.694783
896	3096.077658
897	3091.027933
898	3085.292161
899	3082.055065
900	3079.516424
901	3075.427525
902	3071.88953
903	3067.657075
904	3062.15923
905	3058.634925
906	3052.418349
907	3048.225426
908	3042.630766
909	3035.979969
910	3028.780851
911	3024.297608
912	3017.454742
913	3011.978828
914	3005.037383
915	3001.094112
916	2996.560238
917	2993.579909
918	2986.822515
919	2982.005297
920	2977.698359
921	2971.587611
922	2969.552001
923	2964.357299
924	2960.439198
925	2956.543242
926	2951.644419
927	2945.50855
928	2939.472129
929	2935.600463
930	2931.328447
931	2927.539083
932	2922.715753
933	2918.79662
934	2912.654452
935	2908.469624
936	2904.157862
937	2900.334979
938	2897.061667
939	2892.49169
940	2888.517992
941	2883.92929
942	2876.731178
943	2872.351689
944	2868.654519
945	2862.642116
946	2856.665364
947	2854.221918
948	2850.376099
949	2846.165983
950	2841.8886
951	2839.048038
952	2832.756129
953	2829.02324
954	2822.269777
955	2818.489049
956	2817.686764
957	2813.307747
958	2809.079193
959	2804.013166
960	2800.296559
961	2795.536683
962	2792.156447
963	2787.739575
964	2783.33642
965	2779.733792
966	2774.554796
967	2772.101913
968	2769.055301
969	2763.829122
970	2760.488711
971	2756.306258
972	2750.124269
973	2745.310753
974	2742.371308
975	2739.148964
976	2735.08803
977	2731.88499
978	2727.366375
979	2723.795083
980	2721.750674
981	2720.835364
982	2717.802489
983	2712.609946
984	2707.693973
985	2702.663414
986	2696.574043
987	2693.0725
988	2687.714296
989	2682.84204
990	2678.54051
991	2675.145894
992	2670.338303
993	2667.223749
994	2663.367468
995	2659.601684
996	2655.963996
997	2651.922172
998	2646.282024
999	2641.84803
